tt0040525	The Lady from Shanghai	The Lady from Shanghai		87	Crime,Drama,Film-Noir	7.7	21440
tt0040724	Red River	Red River		133	Action,Adventure,Romance	7.8	23575
tt0040725	The Red Shoes	The Red Shoes		134	Drama,Music,Romance	8.3	22526
tt0040746	Rope	Rope		80	Crime,Drama,Mystery	8	106500
tt0040897	The Treasure of the Sierra Madre	The Treasure of the Sierra Madre		126	Adventure,Drama,Western	8.3	89877
tt0041090	Adam's Rib	Adam's Rib		101	Comedy,Drama,Romance	7.6	16959
tt0041113	All the King's Men	All the King's Men		110	Drama,Film-Noir	7.6	10990
tt0041154	Late Spring	Banshun		108	Drama	8.3	10561
tt0041452	The Heiress	The Heiress		115	Drama,Romance	8.2	10932
tt0041546	Kind Hearts and Coronets	Kind Hearts and Coronets		106	Comedy,Crime	8.1	30189
tt0041699	Stray Dog	Nora inu		122	Crime,Drama,Mystery	7.9	12159
tt0041716	On the Town	On the Town		98	Comedy,Musical,Romance	7.6	13438
tt0041866	She Wore a Yellow Ribbon	She Wore a Yellow Ribbon		103	Western	7.4	13146
tt0041959	The Third Man	The Third Man		104	Film-Noir,Mystery,Thriller	8.2	128626
tt0041996	Twelve O'Clock High	Twelve O'Clock High		132	Drama,War	7.8	10848
tt0042041	White Heat	White Heat		114	Action,Crime,Drama	8.2	22787
tt0042192	All About Eve	All About Eve		138	Drama	8.3	94920
tt0042208	The Asphalt Jungle	The Asphalt Jungle		112	Crime,Drama,Film-Noir	7.9	19774
tt0042332	Cinderella	Cinderella		74	Animation,Family,Fantasy	7.3	120052
tt0042546	Harvey	Harvey		104	Comedy,Drama,Fantasy	8	47653
tt0042593	In a Lonely Place	In a Lonely Place		94	Drama,Film-Noir,Mystery	8	20064
tt0042804	The Young and the Damned	Los olvidados		85	Crime,Drama	8.3	14748
tt0042876	Rashomon	Rashômon		88	Crime,Drama,Mystery	8.3	117908
tt0042895	Rio Grande	Rio Grande		105	Romance,Western	7.2	11601
tt0042994	Stage Fright	Stage Fright		110	Film-Noir,Thriller	7.1	10490
tt0043014	Sunset Boulevard	Sunset Blvd.		110	Drama,Film-Noir	8.5	159291
tt0043137	Winchester '73	Winchester '73		92	Action,Drama,Western	7.7	13894
tt0043265	The African Queen	The African Queen		105	Adventure,Drama,Romance	7.9	62904
tt0043274	Alice in Wonderland	Alice in Wonderland		75	Adventure,Animation,Family	7.4	107069
tt0043278	An American in Paris	An American in Paris		114	Drama,Musical,Romance	7.2	24975
tt0043338	Ace in the Hole	Ace in the Hole		111	Drama,Film-Noir	8.2	22069
tt0043456	The Day the Earth Stood Still	The Day the Earth Stood Still		92	Drama,Sci-Fi	7.8	68885
tt0043924	A Place in the Sun	A Place in the Sun		122	Drama,Romance	7.8	16665
tt0043949	Quo Vadis	Quo Vadis		171	Biography,Drama,History	7.2	11113
tt0044008	A Christmas Carol	Scrooge		86	Drama,Fantasy	8.1	16867
tt0044079	Strangers on a Train	Strangers on a Train		101	Crime,Film-Noir,Thriller	8	107403
tt0044081	A Streetcar Named Desire	A Streetcar Named Desire		122	Drama	8	85588
tt0044121	The Thing from Another World	The Thing from Another World		87	Horror,Sci-Fi	7.2	21136
tt0044391	The Bad and the Beautiful	The Bad and the Beautiful		118	Drama,Romance	7.9	10886
tt0044672	The Greatest Show on Earth	The Greatest Show on Earth		152	Drama,Family,Romance	6.7	10606
tt0044706	High Noon	High Noon		85	Action,Drama,Thriller	8	85719
tt0044741	Ikiru	Ikiru		143	Drama	8.3	49197
tt0044829	The Lavender Hill Mob	The Lavender Hill Mob		78	Comedy,Crime	7.7	10522
tt0044837	Limelight	Limelight		137	Drama,Music,Romance	8.1	14876
tt0044916	Monkey Business	Monkey Business		97	Comedy	7	10822
tt0045061	The Quiet Man	The Quiet Man		129	Comedy,Drama,Romance	7.9	29541
tt0045152	Singin' in the Rain	Singin' in the Rain		103	Comedy,Musical,Romance	8.3	175119
tt0045274	Umberto D.	Umberto D.		89	Drama	8.2	18599
tt0045555	The Big Heat	The Big Heat		90	Crime,Film-Noir,Thriller	8	18631
tt0045793	From Here to Eternity	From Here to Eternity		118	Drama,Romance,War	7.7	36970
tt0045810	Gentlemen Prefer Blondes	Gentlemen Prefer Blondes		91	Comedy,Musical,Romance	7.2	25823
tt0045888	House of Wax	House of Wax		88	Horror	7.1	13191
tt0045891	How to Marry a Millionaire	How to Marry a Millionaire		95	Comedy,Drama,Romance	7	17336
tt0045897	I Confess	I Confess		95	Crime,Drama,Thriller	7.3	16076
tt0046126	Niagara	Niagara		92	Film-Noir,Thriller	7.1	12283
tt0046183	Peter Pan	Peter Pan		77	Adventure,Animation,Family	7.3	101191
tt0046187	Pickup on South Street	Pickup on South Street		80	Crime,Film-Noir,Thriller	7.8	10240
tt0046250	Roman Holiday	Roman Holiday		118	Comedy,Romance	8.1	111045
tt0046268	The Wages of Fear	Le salaire de la peur		131	Adventure,Drama,Thriller	8.2	40908
tt0046303	Shane	Shane		118	Drama,Western	7.7	31126
tt0046359	Stalag 17	Stalag 17		120	Comedy,Drama,War	8	45807
tt0046438	Tokyo Story	Tôkyô monogatari		136	Drama	8.2	34177
tt0046478	Ugetsu	Ugetsu monogatari		96	Drama,Fantasy,War	8.2	16370
tt0046487	Monsieur Hulot's Holiday	Les vacances de Monsieur Hulot		114	Comedy	7.6	13917
tt0046521	I Vitelloni	I vitelloni		107	Comedy,Drama	8	11776
tt0046534	The War of the Worlds	The War of the Worlds		85	Action,Sci-Fi,Thriller	7.1	27665
tt0046672	20,000 Leagues Under the Sea	20,000 Leagues Under the Sea		127	Adventure,Drama,Family	7.2	24309
tt0046816	The Caine Mutiny	The Caine Mutiny		124	Drama,War	7.9	21457
tt0046876	Creature from the Black Lagoon	Creature from the Black Lagoon		79	Horror	7	20343
tt0046911	Diabolique	Les diaboliques		117	Crime,Drama,Horror	8.1	48492
tt0046912	Dial M for Murder	Dial M for Murder		105	Crime,Film-Noir,Thriller	8.2	123886
tt0047034	Godzilla	Gojira		96	Drama,Horror,Sci-Fi	7.5	21871
tt0047136	Johnny Guitar	Johnny Guitar		110	Drama,Western	7.7	12577
tt0047296	On the Waterfront	On the Waterfront		108	Crime,Drama,Thriller	8.2	114537
tt0047396	Rear Window	Rear Window		112	Mystery,Thriller	8.5	359291
tt0047437	Sabrina	Sabrina		113	Comedy,Drama,Romance	7.7	49329
tt0047445	Sansho the Bailiff	Sanshô dayû		124	Drama	8.4	11457
tt0047472	Seven Brides for Seven Brothers	Seven Brides for Seven Brothers		102	Comedy,Drama,Musical	7.4	17798
tt0047478	Seven Samurai	Shichinin no samurai		207	Adventure,Drama	8.7	256907
tt0047522	A Star Is Born	A Star Is Born		154	Drama,Musical,Romance	7.8	11672
tt0047528	La Strada	La strada		108	Drama	8.1	50071
tt0047573	Them!	Them!		94	Horror,Sci-Fi	7.3	16531
tt0047673	White Christmas	White Christmas		120	Comedy,Musical,Romance	7.6	25483
tt0047677	The Wild One	The Wild One		79	Drama	6.9	12441
tt0047811	All That Heaven Allows	All That Heaven Allows		89	Drama,Romance	7.7	10557
tt0047834	Animal Farm	Animal Farm		72	Animation,Drama	7.2	11876
tt0047849	Bad Day at Black Rock	Bad Day at Black Rock		81	Crime,Drama,Mystery	7.8	16048
tt0048021	Rififi	Du rififi chez les hommes		118	Crime,Thriller	8.2	20978
tt0048028	East of Eden	East of Eden		118	Drama	8	33699
tt0048140	Guys and Dolls	Guys and Dolls		150	Comedy,Crime,Musical	7.3	13120
tt0048254	Killer's Kiss	Killer's Kiss		67	Crime,Drama,Film-Noir	6.7	17447
tt0048261	Kiss Me Deadly	Kiss Me Deadly		106	Crime,Film-Noir,Mystery	7.7	15446
tt0048280	Lady and the Tramp	Lady and the Tramp		76	Adventure,Animation,Comedy	7.3	98107
tt0048281	The Ladykillers	The Ladykillers		91	Comedy,Crime	7.8	22555
tt0048356	Marty	Marty		90	Drama,Romance	7.7	17455
tt0048380	Mister Roberts	Mister Roberts		123	Comedy,Drama,War	7.8	13629
tt0048424	The Night of the Hunter	The Night of the Hunter		92	Crime,Drama,Film-Noir	8	70607
tt0048452	Ordet	Ordet		126	Drama,Fantasy	8.2	11092
tt0048473	Pather Panchali	Pather Panchali		125	Drama	8.4	16726
tt0048545	Rebel Without a Cause	Rebel Without a Cause		111	Drama	7.8	70616
tt0048605	The Seven Year Itch	The Seven Year Itch		105	Comedy,Romance	7.2	28470
tt0048728	To Catch a Thief	To Catch a Thief		106	Mystery,Romance,Thriller	7.5	51622
tt0048750	The Trouble with Harry	The Trouble with Harry		99	Comedy,Mystery	7.2	27922
tt0048960	Around the World in Eighty Days	Around the World in Eighty Days		175	Adventure,Comedy,Family	6.8	20255
tt0048977	The Bad Seed	The Bad Seed		129	Crime,Drama,Horror	7.5	10688
tt0049223	Forbidden Planet	Forbidden Planet		98	Action,Adventure,Sci-Fi	7.7	38200
tt0049261	Giant	Giant		201	Drama,Western	7.7	28863
tt0049314	High Society	High Society		111	Comedy,Musical,Romance	7	11540
tt0049366	Invasion of the Body Snatchers	Invasion of the Body Snatchers		80	Drama,Horror,Sci-Fi	7.8	37917
tt0049406	The Killing	The Killing		85	Crime,Drama,Film-Noir	8	68292
tt0049408	The King and I	The King and I		133	Biography,Drama,Musical	7.5	20792
tt0049470	The Man Who Knew Too Much	The Man Who Knew Too Much		120	Drama,Thriller	7.5	47562
tt0049513	Moby Dick	Moby Dick		116	Adventure,Drama	7.4	14683
tt0049730	The Searchers	The Searchers		119	Adventure,Drama,Western	8	68408
tt0049833	The Ten Commandments	The Ten Commandments		220	Adventure,Drama	7.9	52938
tt0049902	A Man Escaped	Un condamné à mort s'est échappé ou Le vent souffle où il veut		101	Drama,Thriller,War	8.2	14109
tt0050083	12 Angry Men	12 Angry Men		96	Crime,Drama	8.9	526134
tt0050086	3:10 to Yuma	3:10 to Yuma		92	Drama,Thriller,Western	7.6	15600
tt0050105	An Affair to Remember	An Affair to Remember		115	Drama,Romance	7.6	24116
tt0050212	The Bridge on the River Kwai	The Bridge on the River Kwai		161	Adventure,Drama,War	8.2	168290
tt0050371	A Face in the Crowd	A Face in the Crowd		126	Drama,Music	8.2	11004
tt0050419	Funny Face	Funny Face		103	Comedy,Musical,Romance	7.1	21663
tt0050468	Gunfight at the O.K. Corral	Gunfight at the O.K. Corral		122	Biography,Drama,Western	7.2	11452
tt0050539	The Incredible Shrinking Man	The Incredible Shrinking Man		81	Horror,Sci-Fi	7.7	13104
tt0050613	Throne of Blood	Kumonosu-jô		110	Drama	8.1	35988
tt0050634	The Cranes Are Flying	Letyat zhuravli		95	Drama,Romance,War	8.3	11714
tt0050658	Love in the Afternoon	Love in the Afternoon		130	Comedy,Crime,Drama	7.3	11329
tt0050706	Mon Oncle	Mon oncle		117	Comedy	7.9	15199
tt0050783	The Nights of Cabiria	Le notti di Cabiria		110	Drama	8.2	31405
tt0050825	Paths of Glory	Paths of Glory		88	Drama,War	8.4	138468
tt0050976	The Seventh Seal	Det sjunde inseglet		96	Drama,Fantasy	8.2	127159
tt0050986	Wild Strawberries	Smultronstället		91	Drama,Romance	8.2	72374
tt0051036	Sweet Smell of Success	Sweet Smell of Success		96	Drama,Film-Noir	8.2	22360
tt0051201	Witness for the Prosecution	Witness for the Prosecution		116	Crime,Drama,Mystery	8.4	76902
tt0051207	The Wrong Man	The Wrong Man		105	Drama,Film-Noir	7.5	21196
tt0051378	Elevator to the Gallows	Ascenseur pour l'échafaud		91	Crime,Drama,Thriller	8	16206
tt0051411	The Big Country	The Big Country		166	Romance,Western	7.9	12742
tt0051418	The Blob	The Blob		86	Horror,Sci-Fi	6.4	18421
tt0051459	Cat on a Hot Tin Roof	Cat on a Hot Tin Roof		108	Drama	8.1	37333
tt0051525	The Defiant Ones	The Defiant Ones		96	Crime,Drama	7.7	10623
tt0051554	Horror of Dracula	Dracula		82	Horror	7.4	17180
tt0051622	The Fly	The Fly		94	Drama,Horror,Sci-Fi	7.1	17439
tt0051658	Gigi	Gigi		115	Comedy,Musical,Romance	6.8	16378
tt0051744	House on Haunted Hill	House on Haunted Hill		75	Horror,Mystery	6.9	18232
tt0051808	The Hidden Fortress	Kakushi-toride no san-akunin		139	Adventure,Drama	8.1	26911
tt0051994	A Night to Remember	A Night to Remember		123	Biography,Drama,History	7.9	11419
tt0052077	Plan 9 from Outer Space	Plan 9 from Outer Space		79	Horror,Sci-Fi	4	31880
tt0052311	Touch of Evil	Touch of Evil		95	Crime,Drama,Film-Noir	8.1	81526
tt0052357	Vertigo	Vertigo		128	Mystery,Romance,Thriller	8.4	286528
tt0052365	The Vikings	The Vikings		116	Action,Adventure	7.1	10458
tt0052561	Anatomy of a Murder	Anatomy of a Murder		160	Crime,Drama,Mystery	8.1	50630
tt0052618	Ben-Hur	Ben-Hur		212	Adventure,Drama,History	8.1	182780
tt0052738	The Diary of Anne Frank	The Diary of Anne Frank		180	Biography,Drama,Family	7.4	10290
tt0052893	Hiroshima Mon Amour	Hiroshima mon amour		90	Drama,Romance	8	22390
tt0052918	Imitation of Life	Imitation of Life		125	Drama	7.9	12275
tt0052948	Journey to the Center of the Earth	Journey to the Center of the Earth		132	Adventure,Family,Fantasy	7.1	12897
tt0053125	North by Northwest	North by Northwest		136	Action,Adventure,Mystery	8.4	246094
tt0053137	On the Beach	On the Beach		134	Drama,Romance,Sci-Fi	7.3	10278
