51378	Elevator to the Gallows	Ascenseur pour l'échafaud	1958	91	16389	8
51411	The Big Country	The Big Country	1958	166	12820	7.9
51418	The Blob	The Blob	1958	86	18486	6.4
51459	Cat on a Hot Tin Roof	Cat on a Hot Tin Roof	1958	108	37548	8.1
51525	The Defiant Ones	The Defiant Ones	1958	96	10776	7.7
51554	Horror of Dracula	Dracula	1958	82	17244	7.4
51622	The Fly	The Fly	1958	94	17526	7.1
51658	Gigi	Gigi	1958	115	16500	6.8
51744	House on Haunted Hill	House on Haunted Hill	1959	75	18318	6.9
51808	The Hidden Fortress	Kakushi-toride no san-akunin	1958	139	27042	8.1
51994	A Night to Remember	A Night to Remember	1958	123	11457	7.9
52077	Plan 9 from Outer Space	Plan 9 from Outer Space	1959	79	31981	4
52311	Touch of Evil	Touch of Evil	1958	95	82767	8.1
52357	Vertigo	Vertigo	1958	128	289590	8.4
52365	The Vikings	The Vikings	1958	116	10499	7.1
52561	Anatomy of a Murder	Anatomy of a Murder	1959	160	50835	8.1
52618	Ben-Hur	Ben-Hur	1959	212	184676	8.1
52738	The Diary of Anne Frank	The Diary of Anne Frank	1959	180	10338	7.4
52893	Hiroshima Mon Amour	Hiroshima mon amour	1959	90	22553	8
52918	Imitation of Life	Imitation of Life	1959	125	12346	7.9
52948	Journey to the Center of the Earth	Journey to the Center of the Earth	1959	132	12963	7.1
53125	North by Northwest	North by Northwest	1959	136	248359	8.4
53137	On the Beach	On the Beach	1959	134	10316	7.3
53143	Operation Petticoat	Operation Petticoat	1959	124	10356	7.3
53168	Pickpocket	Pickpocket	1959	76	15472	7.8
53172	Pillow Talk	Pillow Talk	1959	102	12665	7.5
53198	The 400 Blows	Les quatre cents coups	1959	99	82195	8.1
53221	Rio Bravo	Rio Bravo	1959	141	47535	8
53291	Some Like It Hot	Some Like It Hot	1959	121	200362	8.3
53318	Suddenly, Last Summer	Suddenly, Last Summer	1959	114	11585	7.6
53459	Eyes Without a Face	Les yeux sans visage	1960	90	19967	7.8
53472	Breathless	À bout de souffle	1960	90	59352	7.9
53580	The Alamo	The Alamo	1960	167	12091	6.9
53604	The Apartment	The Apartment	1960	125	127764	8.3
53619	L'Avventura	L'avventura	1960	143	20934	7.9
53779	La Dolce Vita	La dolce vita	1960	174	54809	8.1
53946	Inherit the Wind	Inherit the Wind	1960	128	22994	8.2
53976	The Virgin Spring	Jungfrukällan	1960	89	21205	8.1
54033	The Little Shop of Horrors	The Little Shop of Horrors	1960	72	13707	6.3
54047	The Magnificent Seven	The Magnificent Seven	1960	128	76003	7.8
54067	Black Sunday	La maschera del demonio	1960	87	10993	7.3
54130	La Notte	La notte	1961	122	13637	8
54135	Ocean's 11	Ocean's Eleven	1960	127	16867	6.6
54167	Peeping Tom	Peeping Tom	1960	101	24695	7.7
54189	Purple Noon	Plein soleil	1960	118	10758	7.8
54215	Psycho	Psycho	1960	109	486180	8.5
54248	Rocco and His Brothers	Rocco e i suoi fratelli	1960	177	12989	8.3
54331	Spartacus	Spartacus	1960	197	106970	7.9
54357	Swiss Family Robinson	Swiss Family Robinson	1960	126	11409	7.2
54387	The Time Machine	The Time Machine	1960	103	30628	7.6
54389	Shoot the Piano Player	Tirez sur le pianiste	1960	81	14369	7.6
54407	Le Trou	Le trou	1960	132	11265	8.5
54443	Village of the Damned	Village of the Damned	1960	77	12185	7.3
54632	Last Year at Marienbad	L'année dernière à Marienbad	1961	94	16332	7.9
54698	Breakfast at Tiffany's	Breakfast at Tiffany's	1961	115	140256	7.7
54743	The Children's Hour	The Children's Hour	1961	108	11878	7.8
54847	El Cid	El Cid	1961	182	10877	7.3
54953	The Guns of Navarone	The Guns of Navarone	1961	158	39531	7.6
54997	The Hustler	The Hustler	1961	134	67502	8
55018	The Innocents	The Innocents	1961	100	21865	7.9
55031	Judgment at Nuremberg	Judgment at Nuremberg	1961	186	53734	8.3
55032	Jules and Jim	Jules et Jim	1962	105	30937	7.9
55184	The Misfits	The Misfits	1961	125	14493	7.4
55256	One, Two, Three	One, Two, Three	1961	115	16529	8
55277	The Parent Trap	The Parent Trap	1961	129	15918	7.1
55304	Pit and the Pendulum	Pit and the Pendulum	1961	80	10273	7.1
55471	Splendor in the Grass	Splendor in the Grass	1961	124	14984	7.8
55499	Through a Glass Darkly	Såsom i en spegel	1961	89	17556	8.1
55572	A Woman Is a Woman	Une femme est une femme	1961	85	12083	7.6
55601	Viridiana	Viridiana	1961	90	18288	8.2
55614	West Side Story	West Side Story	1961	153	80922	7.6
55630	Yojimbo	Yôjinbô	1961	110	85895	8.3
55798	Birdman of Alcatraz	Birdman of Alcatraz	1962	147	13546	7.8
55824	Cape Fear	Cape Fear	1962	106	22331	7.8
55830	Carnival of Souls	Carnival of Souls	1962	78	15725	7.2
55928	Dr. No	Dr. No	1962	110	126842	7.3
56058	Harakiri	Seppuku	1962	133	22019	8.7
56059	Hatari!	Hatari!	1962	157	10049	7.2
56085	How the West Was Won	How the West Was Won	1962	164	15824	7.1
56111	Ivan's Childhood	Ivanovo detstvo	1962	95	22788	8.1
56172	Lawrence of Arabia	Lawrence of Arabia	1962	216	220367	8.3
56193	Lolita	Lolita	1962	153	76405	7.6
56197	The Longest Day	The Longest Day	1962	178	46700	7.8
56217	The Man Who Shot Liberty Valance	The Man Who Shot Liberty Valance	1962	123	58909	8.1
56218	The Manchurian Candidate	The Manchurian Candidate	1962	126	65094	8
56241	The Miracle Worker	The Miracle Worker	1962	106	13646	8.1
56262	The Music Man	The Music Man	1962	151	13956	7.7
56264	Mutiny on the Bounty	Mutiny on the Bounty	1962	178	12722	7.3
56291	Knife in the Water	Nóz w wodzie	1962	94	16581	7.6
56412	Ride the High Country	Ride the High Country	1962	94	10252	7.6
56443	Sanjuro	Tsubaki Sanjûrô	1962	96	23369	8.2
56592	To Kill a Mockingbird	To Kill a Mockingbird	1962	129	248704	8.3
56663	My Life to Live	Vivre sa vie: Film en douze tableaux	1962	80	21357	8.1
56687	What Ever Happened to Baby Jane?	What Ever Happened to Baby Jane?	1962	134	41459	8.1
56732	The Exterminating Angel	El ángel exterminador	1962	95	22746	8.2
56736	L'Eclisse	L'eclisse	1962	126	13554	7.9
56801	8½	8½	1963	138	90418	8.1
56869	The Birds	The Birds	1963	119	144591	7.7
56923	Charade	Charade	1963	113	55499	8
56937	Cleopatra	Cleopatra	1963	192	24486	7
